dataset,feat_algo,acc,prec,recall,f1,mcc,roc_auc,g-m,bal
prop-1.csv,Backward3,0.82,0.65,0.66,0.65,0.3,0.78,0.75,0.74
prop-1.csv,Backward4,0.72,0.61,0.69,0.61,0.28,0.76,0.71,0.71
prop-1.csv,Auto-Spearman,0.83,0.67,0.68,0.67,0.34,0.68,0.77,0.76
prop-1.csv,ATE-FS,0.83,0.64,0.6,0.61,0.24,0.74,0.73,0.71
--------,--------,--------,--------,--------,--------,--------,--------,--------,--------
prop-5.csv,None,0.76,0.56,0.56,0.56,0.11,0.73,0.68,0.67
prop-5.csv,GSMB,0.75,0.57,0.59,0.58,0.16,0.7,0.69,0.68
prop-5.csv,IAMB,0.73,0.58,0.61,0.58,0.19,0.7,0.69,0.69
prop-5.csv,IAMBnPC,0.74,0.58,0.61,0.58,0.18,0.7,0.69,0.69
prop-5.csv,LRH,0.76,0.57,0.59,0.58,0.16,0.7,0.69,0.68
prop-5.csv,BAMB,0.76,0.57,0.59,0.58,0.16,0.7,0.69,0.68
prop-5.csv,FBEDk,0.75,0.57,0.59,0.58,0.16,0.7,0.69,0.68
prop-5.csv,MMMB,0.74,0.58,0.61,0.58,0.19,0.7,0.69,0.69
prop-5.csv,PCMB,0.74,0.57,0.6,0.58,0.17,0.66,0.68,0.68
prop-5.csv,HITON_MB,0.74,0.58,0.61,0.58,0.18,0.7,0.69,0.69
prop-5.csv,MBOR,0.76,0.58,0.59,0.58,0.16,0.7,0.69,0.69
prop-5.csv,IPCMB,0.73,0.57,0.6,0.58,0.17,0.66,0.68,0.68
prop-5.csv,STMB,0.73,0.57,0.59,0.57,0.16,0.68,0.68,0.68
prop-5.csv,KIAMB,0.76,0.57,0.59,0.58,0.16,0.7,0.69,0.68
prop-5.csv,TIE_P,0.73,0.58,0.62,0.58,0.19,0.71,0.69,0.69
prop-5.csv,Chi-Square1,0.71,0.58,0.64,0.58,0.22,0.72,0.68,0.68
prop-5.csv,Chi-Square2,0.68,0.58,0.63,0.57,0.2,0.72,0.67,0.67
prop-5.csv,Chi-Square3,0.76,0.54,0.55,0.55,0.09,0.7,0.67,0.66
prop-5.csv,Chi-Square4,0.73,0.59,0.64,0.6,0.23,0.74,0.7,0.7
prop-5.csv,Mutual-Info1,0.77,0.55,0.55,0.55,0.1,0.68,0.67,0.67
prop-5.csv,Mutual-Info2,0.76,0.55,0.55,0.55,0.11,0.72,0.67,0.67
prop-5.csv,Mutual-Info3,0.76,0.55,0.56,0.56,0.11,0.73,0.67,0.67
prop-5.csv,Mutual-Info4,0.76,0.55,0.56,0.55,0.11,0.72,0.67,0.67
prop-5.csv,Anova1,0.76,0.55,0.55,0.55,0.09,0.7,0.67,0.66
prop-5.csv,Anova2,0.76,0.55,0.55,0.55,0.11,0.71,0.67,0.67
prop-5.csv,Anova3,0.73,0.6,0.67,0.61,0.27,0.75,0.71,0.71
prop-5.csv,Anova4,0.75,0.61,0.66,0.62,0.26,0.76,0.72,0.72
prop-5.csv,DropCorrelated1,0.8,0.58,0.56,0.57,0.14,0.72,0.69,0.68
prop-5.csv,DropCorrelated2,0.8,0.59,0.57,0.58,0.16,0.72,0.7,0.69
prop-5.csv,DropCorrelated3,0.77,0.55,0.55,0.55,0.1,0.7,0.67,0.67
prop-5.csv,DropCorrelated4,0.77,0.55,0.55,0.55,0.11,0.71,0.68,0.67
prop-5.csv,SmartCorrelated1,0.8,0.59,0.58,0.59,0.18,0.74,0.71,0.7
prop-5.csv,SmartCorrelated2,0.79,0.57,0.56,0.56,0.13,0.71,0.69,0.68
prop-5.csv,SmartCorrelated3,0.76,0.55,0.55,0.55,0.09,0.71,0.67,0.66
prop-5.csv,SmartCorrelated4,0.76,0.55,0.55,0.55,0.1,0.71,0.67,0.67
prop-5.csv,RFE-Logistic1,0.67,0.57,0.63,0.56,0.2,0.71,0.66,0.66
prop-5.csv,RFE-Logistic2,0.76,0.54,0.54,0.54,0.08,0.69,0.66,0.66
prop-5.csv,RFE-Logistic3,0.74,0.6,0.66,0.61,0.26,0.75,0.71,0.71
prop-5.csv,RFE-Logistic4,0.75,0.54,0.54,0.54,0.08,0.72,0.66,0.66
prop-5.csv,Forward1,0.76,0.55,0.55,0.55,0.1,0.69,0.67,0.67
prop-5.csv,Forward2,0.76,0.55,0.56,0.55,0.11,0.69,0.67,0.67
prop-5.csv,Forward3,0.76,0.55,0.55,0.55,0.1,0.7,0.67,0.67
prop-5.csv,Forward4,0.77,0.56,0.57,0.56,0.13,0.71,0.68,0.68
prop-5.csv,RFE-Random1,0.57,0.54,0.58,0.5,0.12,0.6,0.58,0.58
prop-5.csv,RFE-Random2,0.8,0.58,0.57,0.57,0.15,0.71,0.7,0.69
prop-5.csv,RFE-Random3,0.73,0.6,0.65,0.61,0.25,0.74,0.71,0.71
prop-5.csv,RFE-Random4,0.78,0.57,0.57,0.57,0.14,0.71,0.69,0.68
prop-5.csv,Backward1,0.77,0.56,0.56,0.56,0.12,0.7,0.68,0.67
prop-5.csv,Backward2,0.77,0.56,0.56,0.56,0.13,0.7,0.68,0.68
prop-5.csv,Backward3,0.76,0.61,0.66,0.62,0.27,0.76,0.72,0.72
prop-5.csv,Backward4,0.77,0.56,0.56,0.56,0.12,0.71,0.68,0.68
prop-5.csv,Auto-Spearman,0.76,0.55,0.55,0.55,0.09,0.55,0.67,0.66
prop-5.csv,ATE-FS,0.8,0.58,0.56,0.57,0.14,0.7,0.69,0.68
--------,--------,--------,--------,--------,--------,--------,--------,--------,--------
camel-2.11.0.csv,None,0.98,0.71,0.59,0.62,0.28,0.9,0.74,0.71
camel-2.11.0.csv,GSMB,0.97,0.58,0.55,0.56,0.13,0.8,0.71,0.68
