dataset,feat_algo,acc,prec,recall,f1,mcc,roc_auc,g-m,bal
prop-5.csv,FBEDk,0.51,0.52,0.54,0.45,0.05,0.54,0.52,0.52
prop-5.csv,MMMB,0.51,0.52,0.54,0.45,0.06,0.54,0.52,0.52
prop-5.csv,PCMB,0.47,0.52,0.53,0.43,0.05,0.53,0.49,0.49
prop-5.csv,HITON_MB,0.52,0.53,0.55,0.46,0.08,0.55,0.53,0.53
prop-5.csv,MBOR,0.54,0.52,0.54,0.46,0.05,0.54,0.54,0.54
prop-5.csv,IPCMB,0.53,0.53,0.55,0.46,0.07,0.55,0.54,0.54
prop-5.csv,STMB,0.51,0.52,0.54,0.45,0.06,0.54,0.52,0.52
prop-5.csv,KIAMB,0.51,0.52,0.54,0.45,0.05,0.54,0.52,0.52
prop-5.csv,TIE_P,0.51,0.52,0.54,0.45,0.06,0.54,0.52,0.52
prop-5.csv,Chi-Square1,0.69,0.58,0.63,0.57,0.19,0.63,0.67,0.67
prop-5.csv,Chi-Square2,0.66,0.57,0.62,0.56,0.19,0.62,0.65,0.65
prop-5.csv,Chi-Square3,0.66,0.57,0.62,0.56,0.18,0.62,0.65,0.65
prop-5.csv,Chi-Square4,0.66,0.57,0.63,0.56,0.19,0.63,0.65,0.65
prop-5.csv,Mutual-Info1,0.65,0.56,0.61,0.54,0.17,0.61,0.64,0.64
prop-5.csv,Mutual-Info2,0.43,0.57,0.62,0.41,0.19,0.62,0.44,0.46
prop-5.csv,Mutual-Info3,0.66,0.57,0.63,0.56,0.19,0.63,0.65,0.65
prop-5.csv,Mutual-Info4,0.64,0.58,0.64,0.55,0.21,0.64,0.64,0.64
prop-5.csv,Anova1,0.31,0.56,0.56,0.31,0.12,0.56,0.29,0.35
prop-5.csv,Anova2,0.66,0.57,0.63,0.56,0.19,0.63,0.65,0.65
prop-5.csv,Anova3,0.66,0.57,0.63,0.56,0.19,0.63,0.65,0.65
prop-5.csv,Anova4,0.66,0.57,0.63,0.55,0.19,0.63,0.65,0.65
prop-5.csv,DropCorrelated1,0.65,0.57,0.62,0.55,0.18,0.62,0.64,0.64
prop-5.csv,DropCorrelated2,0.65,0.57,0.62,0.55,0.18,0.62,0.64,0.64
prop-5.csv,DropCorrelated3,0.67,0.57,0.63,0.56,0.2,0.63,0.66,0.66
prop-5.csv,DropCorrelated4,0.66,0.57,0.63,0.56,0.2,0.63,0.65,0.65
prop-5.csv,SmartCorrelated1,0.65,0.57,0.62,0.55,0.18,0.62,0.64,0.64
prop-5.csv,SmartCorrelated2,0.69,0.58,0.63,0.57,0.2,0.63,0.67,0.67
prop-5.csv,SmartCorrelated3,0.66,0.58,0.64,0.56,0.2,0.64,0.65,0.65
prop-5.csv,SmartCorrelated4,0.66,0.58,0.64,0.56,0.2,0.64,0.66,0.66
prop-5.csv,RFE-Logistic1,0.7,0.54,0.56,0.54,0.1,0.56,0.65,0.65
prop-5.csv,RFE-Logistic2,0.66,0.57,0.62,0.55,0.19,0.62,0.65,0.65
prop-5.csv,RFE-Logistic3,0.66,0.57,0.63,0.56,0.19,0.63,0.65,0.65
prop-5.csv,RFE-Logistic4,0.66,0.57,0.63,0.56,0.2,0.63,0.65,0.65
prop-5.csv,Forward1,0.71,0.58,0.64,0.58,0.22,0.64,0.68,0.68
prop-5.csv,Forward2,0.69,0.58,0.63,0.57,0.21,0.63,0.67,0.67
prop-5.csv,RFE-Random1,0.7,0.54,0.56,0.54,0.1,0.56,0.64,0.65
prop-5.csv,RFE-Random2,0.67,0.49,0.48,0.46,-0.03,0.48,0.57,0.58
prop-5.csv,RFE-Random3,0.65,0.57,0.62,0.55,0.18,0.62,0.64,0.64
prop-5.csv,RFE-Random4,0.65,0.57,0.62,0.55,0.18,0.62,0.64,0.64
prop-5.csv,Forward3,0.69,0.58,0.64,0.58,0.21,0.64,0.67,0.67
prop-5.csv,Forward4,0.67,0.58,0.65,0.57,0.22,0.65,0.66,0.66
prop-5.csv,Backward1,0.64,0.57,0.64,0.55,0.2,0.64,0.64,0.64
prop-5.csv,Backward2,0.64,0.58,0.64,0.55,0.21,0.64,0.64,0.64
prop-5.csv,Backward3,0.64,0.58,0.64,0.55,0.21,0.64,0.64,0.64
prop-5.csv,Backward4,0.64,0.58,0.65,0.55,0.21,0.65,0.64,0.64
prop-5.csv,Auto-Spearman,0.67,0.58,0.64,0.56,0.2,0.64,0.66,0.66
prop-5.csv,ATE-FS,0.69,0.57,0.63,0.57,0.19,0.69,0.67,0.67
--------,--------,--------,--------,--------,--------,--------,--------,--------,--------
camel-2.11.0.csv,None,0.85,0.53,0.73,0.53,0.18,0.73,0.78,0.78
camel-2.11.0.csv,GSMB,0.74,0.52,0.7,0.47,0.13,0.7,0.72,0.72
camel-2.11.0.csv,IAMB,0.74,0.52,0.7,0.47,0.13,0.7,0.72,0.72
camel-2.11.0.csv,IAMBnPC,0.73,0.52,0.69,0.47,0.12,0.69,0.71,0.71
camel-2.11.0.csv,LRH,0.74,0.52,0.7,0.47,0.13,0.7,0.72,0.72
camel-2.11.0.csv,BAMB,--,--,--,--,--,--,--,
camel-2.11.0.csv,FBEDk,0.74,0.52,0.69,0.47,0.13,0.69,0.71,0.71
camel-2.11.0.csv,MMMB,--,--,--,--,--,--,--,
camel-2.11.0.csv,PCMB,0.75,0.52,0.68,0.47,0.12,0.68,0.71,0.71
camel-2.11.0.csv,HITON_MB,0.74,0.52,0.68,0.47,0.12,0.68,0.71,0.71
camel-2.11.0.csv,MBOR,--,--,--,--,--,--,--,
camel-2.11.0.csv,IPCMB,--,--,--,--,--,--,--,
camel-2.11.0.csv,STMB,--,--,--,--,--,--,--,
camel-2.11.0.csv,KIAMB,0.74,0.52,0.7,0.47,0.13,0.7,0.72,0.72
camel-2.11.0.csv,TIE_P,0.74,0.52,0.71,0.47,0.14,0.71,0.72,0.72
camel-2.11.0.csv,Chi-Square1,0.02,0.01,0.5,0.02,0,0.5,0,0.21
camel-2.11.0.csv,Chi-Square2,0.84,0.53,0.71,0.52,0.16,0.71,0.77,0.76
camel-2.11.0.csv,Chi-Square3,0.85,0.53,0.7,0.53,0.16,0.7,0.77,0.76
camel-2.11.0.csv,Chi-Square4,0.86,0.54,0.71,0.53,0.17,0.71,0.78,0.77
camel-2.11.0.csv,Mutual-Info1,0.82,0.53,0.7,0.51,0.15,0.7,0.76,0.75
camel-2.11.0.csv,Mutual-Info2,0.81,0.53,0.73,0.51,0.17,0.73,0.77,0.76
camel-2.11.0.csv,Mutual-Info3,0.79,0.53,0.73,0.5,0.16,0.73,0.76,0.76
camel-2.11.0.csv,Mutual-Info4,0.85,0.54,0.74,0.54,0.2,0.74,0.79,0.79
camel-2.11.0.csv,Anova1,0.76,0.53,0.74,0.49,0.16,0.74,0.75,0.74
camel-2.11.0.csv,Anova2,0.81,0.53,0.74,0.51,0.18,0.74,0.77,0.77
