dataset,feat_algo,acc,prec,recall,f1,mcc,roc_auc,g-m,bal
prop-5.csv,TIE_P,0.83,0.58,0.53,0.53,0.1,0.56,0.68,0.67
prop-5.csv,Chi-Square1,0.76,0.55,0.56,0.55,0.11,0.61,0.67,0.67
prop-5.csv,Chi-Square2,0.75,0.55,0.56,0.55,0.11,0.61,0.67,0.67
prop-5.csv,Chi-Square3,0.75,0.55,0.56,0.56,0.12,0.61,0.67,0.67
prop-5.csv,Chi-Square4,0.76,0.55,0.55,0.55,0.1,0.59,0.67,0.66
prop-5.csv,Mutual-Info1,0.76,0.56,0.57,0.56,0.12,0.62,0.68,0.67
prop-5.csv,Mutual-Info2,0.75,0.56,0.57,0.56,0.12,0.62,0.67,0.67
prop-5.csv,Mutual-Info3,0.76,0.55,0.56,0.55,0.11,0.6,0.67,0.67
prop-5.csv,Mutual-Info4,0.76,0.55,0.55,0.55,0.1,0.61,0.67,0.67
prop-5.csv,Anova1,0.75,0.55,0.56,0.55,0.11,0.61,0.67,0.67
prop-5.csv,Anova2,0.75,0.55,0.56,0.56,0.12,0.61,0.67,0.67
prop-5.csv,Anova3,0.76,0.56,0.57,0.56,0.13,0.62,0.68,0.67
prop-5.csv,Anova4,0.76,0.55,0.56,0.55,0.11,0.61,0.67,0.67
prop-5.csv,DropCorrelated1,0.81,0.59,0.57,0.57,0.15,0.67,0.7,0.69
prop-5.csv,DropCorrelated2,0.76,0.55,0.56,0.56,0.11,0.61,0.67,0.67
prop-5.csv,DropCorrelated3,0.73,0.56,0.58,0.56,0.14,0.64,0.67,0.67
prop-5.csv,DropCorrelated4,0.77,0.56,0.56,0.56,0.12,0.61,0.68,0.67
prop-5.csv,SmartCorrelated1,0.81,0.59,0.57,0.58,0.16,0.67,0.7,0.69
prop-5.csv,SmartCorrelated2,0.8,0.59,0.57,0.57,0.15,0.68,0.7,0.69
prop-5.csv,SmartCorrelated3,0.76,0.56,0.57,0.56,0.13,0.62,0.68,0.68
prop-5.csv,SmartCorrelated4,0.76,0.57,0.58,0.57,0.14,0.62,0.68,0.68
prop-5.csv,RFE-Logistic1,0.8,0.56,0.55,0.55,0.11,0.64,0.68,0.67
prop-5.csv,RFE-Logistic2,0.83,0.6,0.54,0.54,0.13,0.58,0.69,0.67
prop-5.csv,RFE-Logistic3,0.76,0.56,0.56,0.56,0.11,0.6,0.67,0.67
prop-5.csv,RFE-Logistic4,0.69,0.57,0.61,0.57,0.18,0.67,0.66,0.66
prop-5.csv,Forward1,0.76,0.56,0.56,0.56,0.12,0.61,0.68,0.67
prop-5.csv,Forward2,0.76,0.56,0.56,0.56,0.12,0.62,0.68,0.67
prop-5.csv,Forward3,0.76,0.56,0.56,0.56,0.12,0.62,0.68,0.67
prop-5.csv,Forward4,0.76,0.57,0.58,0.57,0.15,0.63,0.69,0.68
prop-5.csv,RFE-Random1,0.84,0.62,0.52,0.51,0.1,0.52,0.68,0.66
prop-5.csv,RFE-Random2,0.84,0.61,0.53,0.52,0.11,0.58,0.69,0.67
prop-5.csv,RFE-Random3,0.81,0.59,0.56,0.57,0.15,0.66,0.7,0.68
prop-5.csv,RFE-Random4,0.79,0.58,0.57,0.58,0.15,0.65,0.7,0.69
prop-5.csv,Backward1,0.77,0.56,0.57,0.57,0.13,0.63,0.68,0.68
prop-5.csv,Backward2,0.76,0.56,0.57,0.56,0.12,0.63,0.68,0.67
prop-5.csv,Backward3,0.76,0.56,0.57,0.57,0.14,0.63,0.68,0.68
prop-5.csv,Backward4,0.71,0.57,0.61,0.57,0.17,0.68,0.67,0.67
prop-5.csv,Auto-Spearman,0.77,0.55,0.55,0.55,0.1,0.55,0.67,0.67
prop-5.csv,ATE-FS,0.83,0.61,0.54,0.54,0.12,0.55,0.69,0.67
--------,--------,--------,--------,--------,--------,--------,--------,--------,--------
camel-2.11.0.csv,None,0.86,0.54,0.76,0.54,0.22,0.83,0.81,0.81
camel-2.11.0.csv,GSMB,0.93,0.55,0.62,0.56,0.15,0.77,0.75,0.73
camel-2.11.0.csv,IAMB,0.94,0.55,0.62,0.57,0.16,0.73,0.75,0.73
camel-2.11.0.csv,IAMBnPC,0.94,0.55,0.62,0.57,0.16,0.7,0.75,0.73
camel-2.11.0.csv,LRH,0.94,0.55,0.61,0.57,0.15,0.72,0.74,0.72
camel-2.11.0.csv,BAMB,--,--,--,--,--,--,--,
